sos_precinct_id,party,HD,total,pct,eday,mail,early
BEXAR 4173,4173 BS 95,121,,,,,
,,,,,,,
,Marc LaHood,,439,47.26%,71,10,358
,Laurel Jordan Swift,,490,52.74%,86,31,373
BEXAR 4176,4176 BS 95,121,,,,,
,,,,,,,
,Marc LaHood,,320,49.46%,50,19,251
,Laurel Jordan Swift,,327,50.54%,53,29,245
BEXAR 4179,4179 BS 128,118,,,,,
,,,,,,,
,John Lujan III,,980,51.34%,145,25,810
,Kristian Carranza,,929,48.66%,134,57,738
BEXAR 4180,4180 BS 126,118,,,,,
,,,,,,,
,John Lujan III,,3,100.00%,0,0,3
,Kristian Carranza,,0,0.00%,0,0,0
BEXAR 4181,4181 BS 92,121,,,,,
,,,,,,,
,Marc LaHood,,0,0.00%,0,0,0
,Laurel Jordan Swift,,1,100.00%,0,0,1
BEXAR 4187,4187 BS 130,118,,,,,
,,,,,,,
,John Lujan III,,0,,,,
,Kristian Carranza,,0,,,,
BEXAR 4188,4188 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,0,,,,
,Kristian Carranza,,0,,,,
BEXAR 4194,4194 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,222,50.57%,34,3,185
,Kristian Carranza,,217,49.43%,54,19,144
BEXAR 4202,4202 BS 126,118,,,,,
,,,,,,,
,John Lujan III,,0,,,,
,Kristian Carranza,,0,,,,
BEXAR 4205,4205 BS 92,121,,,,,
,,,,,,,
,Marc LaHood,,41,50.62%,15,2,24
,Laurel Jordan Swift,,40,49.38%,14,2,24
BEXAR 4207,4207 BS 119,118,,,,,
,,,,,,,
,John Lujan III,,0,,,,
,Kristian Carranza,,0,,,,
BEXAR 4208,4208 BS 119,118,,,,,
,,,,,,,
,John Lujan III,,0,,,,
,Kristian Carranza,,0,,,,
BEXAR 4209,4209 BS 109,118,,,,,
,,,,,,,
,John Lujan III,,50,86.21%,6,0,44
,Kristian Carranza,,8,13.79%,0,1,7
BEXAR 4210,4210 BS 95,121,,,,,
,,,,,,,
,Marc LaHood,,3,37.50%,3,0,0
,Laurel Jordan Swift,,5,62.50%,5,0,0
BEXAR 4212,4212 BS 126,118,,,,,
,,,,,,,
,John Lujan III,,0,,,,
,Kristian Carranza,,0,,,,
BEXAR 4214,4214 BS 126,118,,,,,
,,,,,,,
,John Lujan III,,651,44.65%,139,7,505
,Kristian Carranza,,807,55.35%,175,15,617
BEXAR 4215,4215 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,275,41.98%,73,3,199
,Kristian Carranza,,380,58.02%,89,9,282
BEXAR 4216,4216 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,226,51.72%,41,3,182
,Kristian Carranza,,211,48.28%,33,11,167
BEXAR 4221,4221 BS 122,121,,,,,
,,,,,,,
,Marc LaHood,,0,,,,
,Laurel Jordan Swift,,0,,,,
BEXAR 4222,4222 BS 95,121,,,,,
,,,,,,,
,Marc LaHood,,113,51.13%,4,9,100
,Laurel Jordan Swift,,108,48.87%,14,4,90
BEXAR 4225,4225 BS 124,118,,,,,
,,,,,,,
,John Lujan III,,247,57.31%,35,4,208
,Kristian Carranza,,184,42.69%,25,8,151
BEXAR 4226,4226 BS 124,118,,,,,
,,,,,,,
,John Lujan III,,75,60.98%,3,5,67
,Kristian Carranza,,48,39.02%,6,5,37
